Parking_ID,Location,Date,Time,Total_Slots,Available_Slots,Occupied_Slots,Vehicle_Type,Parking_Status,Entry_Count,Exit_Count,Revenue,Sensor_Status
P0105,Anna Nagar,2026-06-23,13:16,178,102,76,Car,Full,64,38,2660,Active
P0106,Velachery,2026-03-10,20:37,100,35,65,Bike,Available,129,95,3380,Inactive
P0107,Guindy,2026-03-31,16:19,245,143,102,EV,Available,26,24,4692,Active
P0108,Porur,2026-05-07,21:37,234,167,67,Bike,Full,49,48,5293,Active
P0109,OMR,2026-05-05,23:23,204,95,109,Bike,Available,47,27,5886,Active
P0110,Velachery,2026-01-04,12:12,250,166,84,Car,Available,129,123,2520,Inactive
P0111,T Nagar,2026-01-16,20:20,253,124,129,EV,Available,57,50,4773,Inactive
P0112,Adyar,2026-01-05,18:26,115,22,93,Car,Available,29,26,2418,Inactive
P0113,Velachery,2026-01-24,20:29,183,19,164,Car,Full,143,81,13120,Inactive
P0114,Guindy,2026-03-15,17:07,98,50,48,Bike,Available,57,50,2064,Active
P0115,T Nagar,2026-03-29,16:49,154,126,28,EV,Full,71,20,1736,Active
P0116,Adyar,2026-03-26,23:22,105,59,46,EV,Available,30,14,2024,Inactive
P0117,Adyar,2026-03-24,16:43,68,21,47,EV,Full,145,94,1222,Active
P0118,OMR,2026-04-20,21:41,250,8,242,Bike,Full,38,26,15246,Inactive
P0119,T Nagar,2026-02-22,07:40,61,1,60,Car,Full,65,57,3780,Active
P0120,Tambaram,2026-01-04,19:24,294,49,245,EV,Available,89,72,12005,Inactive
P0121,Adyar,2026-05-15,11:24,171,99,72,Bike,Full,87,40,3528,Active
P0122,OMR,2026-05-03,19:26,96,78,18,Car,Available,138,136,1278,Inactive
P0123,T Nagar,2026-06-11,04:21,272,182,90,Truck,Full,85,11,4500,Active
P0124,OMR,2026-05-09,13:51,67,51,16,Bike,Full,129,126,912,Inactive
P0125,Porur,2026-04-06,07:55,67,35,32,Car,Available,105,61,2240,Inactive
P0126,Tambaram,2026-01-06,22:08,67,16,51,EV,Full,84,36,3774,Inactive
P0127,Tambaram,2026-03-19,20:47,218,14,204,Car,Available,81,47,13056,Active
P0128,Anna Nagar,2026-03-27,14:57,213,32,181,Car,Full,136,79,7964,Active
P0129,Guindy,2026-05-29,08:41,130,98,32,Bike,Full,57,49,960,Inactive
P0130,Porur,2026-06-27,15:14,73,32,41,Bike,Available,144,76,1558,Active
P0131,T Nagar,2026-06-11,03:47,257,144,113,Bike,Available,77,53,3277,Active
P0132,OMR,2026-02-24,23:24,186,85,101,Bike,Available,91,89,3636,Active
P0133,Porur,2026-03-09,12:30,242,11,231,EV,Available,58,33,18480,Inactive
P0134,Tambaram,2026-05-23,19:18,99,34,65,Car,Available,73,25,1300,Inactive
P0135,Guindy,2026-01-30,20:54,103,23,80,Car,Full,137,71,4560,Inactive
P0136,Adyar,2026-04-19,01:26,181,119,62,EV,Full,92,20,1860,Inactive
P0137,Porur,2026-05-17,01:14,155,98,57,EV,Full,20,10,3933,Inactive
P0138,Adyar,2026-05-05,18:27,282,209,73,Truck,Available,105,57,2190,Active
P0139,Tambaram,2026-02-13,17:18,234,97,137,Bike,Available,97,97,4521,Active
P0140,Anna Nagar,2026-02-10,07:58,266,190,76,Bike,Available,28,20,4940,Inactive
P0141,Guindy,2026-01-09,14:59,244,156,88,EV,Full,52,47,4576,Inactive
P0142,Anna Nagar,2026-01-30,23:07,292,270,22,Bike,Available,22,22,946,Active
P0143,T Nagar,2026-05-17,17:26,216,185,31,Car,Available,47,42,620,Active
P0144,Tambaram,2026-04-06,14:52,221,164,57,Bike,Full,111,109,2793,Inactive
P0145,Anna Nagar,2026-04-12,12:35,288,199,89,EV,Available,100,48,5696,Inactive
P0146,Anna Nagar,2026-03-07,19:16,179,77,102,EV,Available,50,46,5712,Inactive
P0147,Tambaram,2026-05-21,15:36,123,74,49,EV,Available,105,73,3871,Active
P0148,T Nagar,2026-03-13,02:53,125,102,23,Car,Full,30,10,667,Active
P0149,Tambaram,2026-05-14,15:20,54,35,19,Truck,Available,125,22,1254,Inactive
P0150,Guindy,2026-03-24,16:25,215,47,168,EV,Available,117,73,3528,Inactive
P0151,Anna Nagar,2026-01-12,23:32,148,127,21,EV,Full,76,47,651,Inactive
P0152,OMR,2026-03-13,17:29,108,30,78,Truck,Available,56,49,5460,Inactive
P0153,Porur,2026-05-26,15:05,300,285,15,Bike,Full,66,38,765,Inactive
P0154,Adyar,2026-05-22,11:08,222,122,100,Car,Full,55,29,2700,Inactive
P0155,T Nagar,2026-03-17,20:37,122,86,36,Truck,Full,60,27,2808,Inactive
P0156,Porur,2026-05-24,05:07,221,138,83,Truck,Full,88,76,2241,Inactive
P0157,Guindy,2026-03-25,15:32,71,21,50,Car,Available,45,29,2450,Active
P0158,T Nagar,2026-05-11,00:35,249,141,108,Bike,Available,49,36,4428,Inactive
P0159,Velachery,2026-04-01,08:22,271,79,192,EV,Full,108,57,6336,Inactive
P0160,Porur,2026-04-11,03:33,64,33,31,Truck,Available,44,28,1178,Inactive
P0161,T Nagar,2026-01-12,01:41,238,179,59,EV,Full,87,80,3835,Active
P0162,Guindy,2026-01-07,13:34,163,88,75,EV,Full,74,46,4650,Active
P0163,Porur,2026-02-18,20:03,212,103,109,Truck,Available,44,24,7521,Inactive
P0164,T Nagar,2026-02-21,10:18,160,52,108,Car,Available,50,38,3240,Active
P0165,Guindy,2026-04-06,11:21,237,210,27,Bike,Available,79,66,1161,Inactive
P0166,Tambaram,2026-06-26,23:48,130,83,47,Truck,Full,134,18,2068,Active
P0167,Velachery,2026-05-07,17:43,257,81,176,EV,Full,80,19,4576,Inactive
P0168,Porur,2026-01-04,10:07,93,17,76,Bike,Full,122,30,2812,Inactive
P0169,Anna Nagar,2026-04-29,04:49,190,76,114,Bike,Full,38,11,8892,Active
P0170,Velachery,2026-04-22,03:01,130,45,85,Truck,Available,94,65,3740,Inactive
P0171,Tambaram,2026-01-24,07:06,179,62,117,Car,Full,28,10,9009,Inactive
P0172,Porur,2026-02-01,19:20,161,62,99,Truck,Available,108,64,7029,Active
P0173,Adyar,2026-04-28,13:23,154,106,48,EV,Available,129,63,3600,Active
P0174,OMR,2026-01-14,22:44,159,119,40,Bike,Available,90,79,1200,Inactive
P0175,Tambaram,2026-04-13,06:23,293,49,244,Car,Available,132,49,8052,Active
P0176,Adyar,2026-04-07,10:15,249,36,213,Truck,Available,104,69,10224,Active
P0177,OMR,2026-01-12,06:45,74,1,73,Car,Available,60,31,3504,Active
P0178,Porur,2026-06-23,03:45,222,31,191,Truck,Available,138,81,11078,Active
P0179,Porur,2026-01-10,11:11,208,188,20,Car,Available,75,33,800,Active
P0180,Guindy,2026-03-20,23:09,181,153,28,EV,Available,137,30,588,Inactive
P0181,Guindy,2026-06-28,21:19,82,40,42,Truck,Full,94,81,2394,Active
P0182,Guindy,2026-05-19,23:38,75,64,11,EV,Available,75,23,242,Inactive
P0183,Anna Nagar,2026-02-18,15:38,277,176,101,EV,Full,93,80,5656,Active
P0184,T Nagar,2026-03-25,21:20,272,252,20,Truck,Full,95,63,780,Inactive
P0185,Velachery,2026-01-01,06:06,117,34,83,Car,Available,112,85,5395,Inactive
P0186,Guindy,2026-03-19,13:24,202,102,100,Bike,Available,89,20,8000,Active
P0187,Adyar,2026-02-26,07:46,245,13,232,Truck,Full,99,93,15080,Inactive
P0188,T Nagar,2026-03-01,08:20,246,190,56,Truck,Available,82,17,3864,Inactive
P0189,Velachery,2026-01-25,08:04,238,25,213,Bike,Full,95,95,6177,Active
P0190,Velachery,2026-06-06,09:13,293,280,13,EV,Available,32,17,897,Active
P0191,Guindy,2026-04-17,12:37,98,62,36,Bike,Full,38,22,2556,Inactive
P0192,Porur,2026-06-11,08:27,137,1,136,Bike,Full,121,56,5848,Inactive
P0193,Velachery,2026-02-12,19:32,203,26,177,Car,Available,143,105,10797,Active
P0194,Porur,2026-03-01,12:43,218,78,140,EV,Full,139,81,10500,Active
P0195,Guindy,2026-06-19,18:12,86,23,63,Truck,Full,150,34,4158,Active
P0196,Porur,2026-01-14,18:18,129,41,88,Bike,Available,107,76,4312,Inactive
P0197,Porur,2026-05-28,21:05,187,70,117,Truck,Available,38,38,5850,Inactive
P0198,Adyar,2026-04-04,17:22,248,93,155,Truck,Available,39,17,3255,Active
P0199,Anna Nagar,2026-03-05,16:30,297,66,231,Car,Available,28,19,15477,Inactive
P0200,Anna Nagar,2026-03-16,18:30,269,159,110,Bike,Available,121,92,6380,Inactive
P0201,Guindy,2026-06-30,20:16,56,23,33,Bike,Available,144,103,1452,Inactive
P0202,Tambaram,2026-04-12,02:00,129,25,104,Bike,Full,32,24,7488,Inactive
P0203,Anna Nagar,2026-05-01,18:40,105,87,18,Truck,Full,81,50,558,Inactive
P0204,OMR,2026-02-22,19:02,287,229,58,EV,Available,20,17,1914,Active
P0205,OMR,2026-03-10,12:06,112,86,26,Bike,Full,79,21,1066,Active
P0206,T Nagar,2026-06-27,13:22,255,203,52,Bike,Full,30,15,4108,Inactive
P0207,Guindy,2026-01-30,03:26,106,58,48,Truck,Full,121,115,2928,Inactive
P0208,T Nagar,2026-03-13,21:42,272,166,106,Bike,Full,24,15,3604,Inactive
P0209,OMR,2026-04-21,09:21,229,131,98,Car,Full,26,22,7644,Active
P0210,Guindy,2026-01-04,02:00,237,173,64,Truck,Full,115,98,3584,Inactive
P0211,Porur,2026-04-18,16:47,113,48,65,Bike,Available,120,117,1365,Inactive
P0212,T Nagar,2026-06-19,03:42,256,161,95,EV,Full,112,34,7125,Active
P0213,Adyar,2026-06-05,07:46,178,166,12,Truck,Full,139,132,552,Inactive
P0214,Anna Nagar,2026-05-05,12:47,207,127,80,Car,Available,127,88,1840,Active
P0215,Porur,2026-06-25,23:49,204,189,15,Truck,Full,109,109,1095,Active
P0216,Tambaram,2026-04-07,00:30,118,97,21,Truck,Available,114,54,546,Active
P0217,Porur,2026-06-07,04:34,298,10,288,EV,Full,52,29,10368,Active
P0218,T Nagar,2026-03-15,20:43,132,18,114,Bike,Available,117,32,5016,Inactive
P0219,Porur,2026-04-11,06:48,173,106,67,Truck,Full,111,93,5360,Active
P0220,Velachery,2026-04-04,07:33,117,42,75,Truck,Available,72,22,5475,Active
P0221,Velachery,2026-05-18,16:50,213,119,94,EV,Full,71,14,4324,Active
P0222,Anna Nagar,2026-01-24,02:00,218,153,65,EV,Available,83,56,4420,Inactive
P0223,Tambaram,2026-01-21,11:30,121,98,23,EV,Available,74,19,1288,Inactive
P0224,Guindy,2026-03-27,13:01,98,51,47,Truck,Available,59,54,1598,Inactive
P0225,Anna Nagar,2026-01-03,16:42,192,112,80,EV,Full,135,128,3120,Active
P0226,OMR,2026-05-28,08:16,236,37,199,Car,Full,60,52,8159,Active
P0227,Tambaram,2026-05-05,18:26,213,151,62,Truck,Available,144,16,1984,Inactive
P0228,OMR,2026-04-29,22:47,59,30,29,Bike,Available,134,40,1392,Inactive
P0229,Porur,2026-01-24,15:39,61,6,55,Truck,Available,55,16,1210,Active
P0230,Adyar,2026-01-21,11:24,129,66,63,Truck,Available,53,46,2457,Active
P0231,Adyar,2026-06-13,18:44,269,36,233,Truck,Available,22,13,10252,Inactive
P0232,Anna Nagar,2026-06-11,00:16,68,40,28,Car,Full,103,96,1372,Active
P0233,Velachery,2026-06-21,15:49,265,226,39,EV,Full,104,19,2184,Inactive
P0234,Tambaram,2026-01-19,14:08,146,18,128,Bike,Available,33,28,2688,Active
P0235,Anna Nagar,2026-03-02,20:55,269,41,228,Bike,Full,84,50,7752,Inactive
P0236,Anna Nagar,2026-02-11,02:54,90,49,41,EV,Available,102,55,1025,Active
P0237,Guindy,2026-06-01,09:33,75,34,41,Truck,Full,75,44,2214,Active
P0238,Tambaram,2026-02-04,23:05,195,20,175,Bike,Full,67,27,6125,Active
P0239,T Nagar,2026-02-03,03:13,223,62,161,EV,Available,47,37,4669,Active
P0240,Anna Nagar,2026-02-14,21:35,120,103,17,Truck,Full,98,24,1343,Inactive
P0241,Adyar,2026-05-19,07:44,229,71,158,Truck,Available,68,51,5846,Active
P0242,Velachery,2026-03-13,09:09,71,33,38,Bike,Available,129,17,2622,Inactive
P0243,Tambaram,2026-06-25,06:09,95,40,55,EV,Full,70,21,4070,Inactive
P0244,Guindy,2026-03-18,16:16,77,11,66,EV,Full,132,29,2178,Active
P0245,T Nagar,2026-06-20,11:43,51,24,27,Bike,Available,126,87,999,Active
P0246,Velachery,2026-04-02,16:33,108,22,86,Car,Full,72,30,5676,Inactive
P0247,Adyar,2026-03-27,20:07,101,86,15,Bike,Full,117,56,900,Active
P0248,Adyar,2026-01-30,08:28,287,237,50,Bike,Available,22,22,3250,Inactive
P0249,Adyar,2026-06-08,02:57,100,32,68,Truck,Available,27,23,1904,Active
P0250,Adyar,2026-01-17,12:14,150,87,63,EV,Full,33,18,1827,Inactive
P0251,T Nagar,2026-02-27,20:29,270,193,77,Bike,Available,119,53,3619,Inactive
P0252,Guindy,2026-04-25,07:40,191,127,64,Car,Full,54,11,5120,Inactive
P0253,Guindy,2026-06-24,22:40,216,163,53,Car,Full,127,121,2544,Inactive
P0254,Tambaram,2026-06-11,11:57,129,113,16,Car,Available,90,30,640,Inactive
P0255,Porur,2026-06-17,12:22,198,154,44,Truck,Full,116,92,2552,Active
P0256,Tambaram,2026-05-01,10:12,148,101,47,Car,Full,94,42,2444,Active
P0257,Guindy,2026-02-24,22:34,161,54,107,Bike,Full,69,67,4922,Active
P0258,Adyar,2026-03-08,20:38,291,188,103,EV,Available,119,85,5974,Active
P0259,OMR,2026-06-29,18:40,192,156,36,Bike,Full,96,20,1080,Inactive
P0260,Adyar,2026-06-21,09:49,173,135,38,Bike,Full,134,133,874,Inactive
P0261,Adyar,2026-04-06,13:37,296,269,27,EV,Full,42,20,1917,Active
P0262,Porur,2026-04-14,05:06,67,47,20,Car,Full,25,12,820,Active
P0263,Tambaram,2026-06-22,17:40,97,21,76,Truck,Available,85,45,3876,Inactive
P0264,Adyar,2026-05-03,06:45,260,236,24,Truck,Available,92,71,1920,Inactive
P0265,Velachery,2026-05-09,16:52,155,79,76,Car,Available,86,42,4104,Active
P0266,Porur,2026-01-29,08:41,257,84,173,Car,Full,26,11,9169,Inactive
P0267,Adyar,2026-01-23,22:56,181,56,125,Car,Available,23,11,5875,Active
P0268,Adyar,2026-04-14,12:05,102,30,72,EV,Available,100,67,2232,Inactive
P0269,Guindy,2026-01-06,22:18,150,67,83,Car,Full,134,74,1992,Inactive
P0270,Adyar,2026-05-01,15:50,162,82,80,Car,Available,93,26,3360,Inactive
P0271,Anna Nagar,2026-06-21,13:39,97,46,51,EV,Available,38,38,4080,Active
P0272,Velachery,2026-01-15,08:07,248,35,213,Car,Available,94,48,13845,Inactive
P0273,Tambaram,2026-05-15,07:47,134,33,101,Car,Available,55,31,3737,Inactive
P0274,T Nagar,2026-02-27,18:01,191,11,180,Car,Available,70,28,4860,Inactive
P0275,Guindy,2026-02-25,12:21,130,22,108,EV,Full,52,14,7020,Inactive
P0276,Velachery,2026-06-19,22:06,57,4,53,Car,Available,110,78,3498,Inactive
P0277,Tambaram,2026-03-12,10:30,106,18,88,Truck,Full,60,30,5984,Inactive
P0278,Velachery,2026-05-12,08:01,74,40,34,Truck,Full,23,18,782,Active
P0279,Velachery,2026-04-14,20:54,80,22,58,Truck,Full,68,14,1798,Active
P0280,Velachery,2026-04-19,05:04,107,57,50,Truck,Available,82,16,1300,Active
P0281,Guindy,2026-02-03,23:43,67,42,25,EV,Available,36,10,1250,Inactive
P0282,Porur,2026-04-12,06:30,104,65,39,Bike,Full,133,29,2184,Active
P0283,Anna Nagar,2026-06-01,15:33,292,36,256,EV,Full,131,131,18176,Inactive
P0284,Guindy,2026-03-28,00:07,200,142,58,EV,Full,86,12,3712,Active
P0285,OMR,2026-01-16,07:19,288,196,92,Truck,Available,82,14,5428,Inactive
P0286,Guindy,2026-06-04,01:05,190,125,65,EV,Available,99,36,3770,Inactive
P0287,Velachery,2026-06-10,02:01,63,25,38,EV,Available,111,26,1292,Inactive
P0288,Porur,2026-05-24,11:03,138,47,91,Car,Available,111,60,4459,Active
P0289,Adyar,2026-02-18,08:10,269,231,38,Truck,Available,59,30,1292,Active
P0290,Porur,2026-06-28,02:15,73,16,57,Car,Available,141,85,1539,Active
P0291,Velachery,2026-06-29,03:22,100,44,56,Truck,Full,67,34,1568,Active
P0292,Adyar,2026-01-09,06:29,53,40,13,Car,Available,96,78,533,Active
P0293,Tambaram,2026-03-10,14:38,71,40,31,EV,Full,56,15,2449,Active
P0294,OMR,2026-06-16,07:30,69,3,66,Truck,Available,56,33,2508,Active
P0295,Tambaram,2026-04-22,06:47,102,5,97,EV,Available,57,28,2813,Active
P0296,Guindy,2026-02-18,18:22,51,17,34,Bike,Full,118,63,1258,Active
P0297,Adyar,2026-01-10,22:54,193,2,191,Car,Available,98,66,8213,Inactive
P0298,Adyar,2026-01-16,16:45,219,14,205,EV,Full,34,33,4305,Active
P0299,Porur,2026-01-28,06:29,143,127,16,Car,Available,112,64,560,Inactive
P0300,Porur,2026-02-27,20:00,236,122,114,EV,Full,68,26,7980,Active
P0301,T Nagar,2026-06-15,18:45,61,22,39,Truck,Available,118,42,2145,Inactive
P0302,Tambaram,2026-03-19,20:56,114,35,79,EV,Full,136,77,2291,Inactive
P0303,OMR,2026-03-19,21:48,206,168,38,Truck,Available,44,18,2318,Inactive
P0304,Velachery,2026-04-18,13:39,299,206,93,Truck,Available,72,22,6882,Inactive
P0305,OMR,2026-02-07,07:52,146,100,46,Car,Available,74,51,3174,Inactive
P0306,Tambaram,2026-02-18,23:53,107,30,77,Truck,Available,81,12,2772,Active
P0307,Guindy,2026-03-10,13:20,191,180,11,Car,Available,95,15,451,Active
P0308,Porur,2026-02-22,17:18,117,103,14,Car,Full,124,46,770,Inactive
P0309,Porur,2026-05-22,07:39,83,54,29,EV,Full,99,32,580,Active
P0310,Adyar,2026-02-27,10:11,134,92,42,Bike,Available,89,49,2478,Inactive
P0311,Tambaram,2026-06-05,19:18,240,159,81,Bike,Full,66,40,5265,Active
P0312,Anna Nagar,2026-06-19,23:45,223,213,10,Truck,Available,96,39,600,Inactive
P0313,Porur,2026-01-22,15:37,181,165,16,EV,Available,100,34,768,Inactive
P0314,Anna Nagar,2026-06-24,00:57,124,76,48,Truck,Full,36,33,1248,Inactive
P0315,Porur,2026-05-22,12:28,242,151,91,Bike,Available,60,49,3640,Active
P0316,Anna Nagar,2026-05-07,05:55,123,38,85,Truck,Available,100,43,4590,Active
